20231205	09:55:52	169cff42-250e-40f6-8a2b-66d148802644	POST	undefined	/auth
20231205	09:59:45	9fbab323-69d3-4a17-9d2d-0a98e1083f81	POST	undefined	/auth
20231205	10:02:28	c6ed6f99-7fd7-4755-850e-e00276fa1fc9	POST	undefined	/auth
20231205	10:03:19	473c6d89-781b-4496-a216-2f366f0fa9d7	GET	undefined	/refresh
20231205	10:03:36	407532bb-bd0c-4b58-ba77-ef3f0057e9ea	POST	undefined	/auth
20231205	10:03:41	c6cf1320-589e-4f38-a7bc-048f278e1439	GET	undefined	/refresh
20231205	10:04:05	6d9c8437-4234-44d3-ab5b-377afe48850f	GET	undefined	/refresh
20231205	10:04:06	9284da51-8190-4d27-8484-f17bb72fd41d	GET	undefined	/refresh
20231205	10:04:07	2a60af41-13bb-4c05-ba94-56eebdfecc87	GET	undefined	/refresh
20231205	10:09:06	d62f1964-7c93-417c-8b8e-3c0858ade833	POST	undefined	/auth
20231205	10:10:00	e9f670cc-ac83-4287-83be-ca36802e272e	GET	undefined	/refresh
20231205	10:10:40	dcf2d3cb-a521-4034-940e-767c591757d4	POST	undefined	/auth
20231205	11:39:41	d5e0ade1-91b5-4b1f-8051-3f33c1bff24c	GET	undefined	/
20231205	11:39:41	4b871b03-023b-44c9-9e22-feb398e6e454	GET	undefined	/css/style.css
20231205	11:41:17	96e8c10e-8646-4a6a-9f98-f3219444abd6	OPTIONS	http://localhost:3001	/register
20231205	13:08:38	57269b8d-6efc-4e89-a0ed-f26320093a34	GET	undefined	/auth
20231205	13:08:57	47ce122a-fc8c-4173-ae73-ff4f95b36bf1	GET	undefined	/refresh
20231205	13:08:58	98bb9e73-9e56-4af7-9678-0e51955251bc	GET	undefined	/refresh
20231205	13:08:58	26828a5c-8db0-446c-a646-75c3bd5b1fa3	GET	undefined	/refresh
20231205	13:08:58	806670ca-9f8a-4784-ae09-99178f4d052e	GET	undefined	/refresh
20231205	13:08:58	a69e395f-9ee0-4435-9407-a93b2e673be8	GET	undefined	/refresh
20231205	13:08:59	a3dc1113-0be2-4493-a392-22cfa0775ea3	GET	undefined	/refresh
20231205	13:08:59	e5d37b14-90a2-40c5-b705-f001a0ac0f71	GET	undefined	/refresh
20231205	13:08:59	c8b7bd98-f6a3-4cd2-9b66-b14cbc10504d	GET	undefined	/refresh
20231205	13:08:59	73e4a659-0799-40a9-9cda-f3c000362bee	GET	undefined	/refresh
20231205	13:08:59	efcc6072-a599-4916-ade3-225216f2e385	GET	undefined	/refresh
20231205	13:08:59	cebcc1af-be83-48f6-8e30-ef6439f8d229	GET	undefined	/refresh
20231205	13:09:00	e76c0a63-73ca-4b4c-baec-d4652d9ce89c	GET	undefined	/refresh
20231205	13:12:19	889d2636-5996-4eeb-9806-a225c0d46fbd	POST	undefined	/register
20231205	13:12:52	36925aaa-7c6e-49c4-b866-6055a195589f	GET	undefined	/auth
20231205	13:13:00	83a9d3da-413b-441f-8b6f-1887931342db	POST	undefined	/register
20231205	13:13:14	c4df1431-12bd-44c8-bd89-76dda8a18c40	GET	undefined	/auth
20231205	13:23:47	a68b709d-4f0c-4b34-8de5-321dcc3b90b4	POST	undefined	/auth
20231205	13:24:39	f583dbbe-1bf7-449c-85a8-168caae72fee	GET	undefined	/logout
